,Classifier,Optimizer,Results,x1,x2,x3,x4
0,dt,forest,-0.90900740518359,entropy,65,3,3.0
1,dt,gbrt,-0.9095455530540882,entropy,897,8,3.0
2,dt,gp,-0.91119296326513,entropy,381,2,1.0
3,svm,forest,-0.9878694935571087,21.5247827568067,poly,4,1.0438494917521863
4,svm,gbrt,-0.9889641242128248,36.77783910335444,rbf,8,1.7575790771023974
5,svm,gp,-0.9884149753934949,2.3516813385771864,rbf,7,3.4814103519174737
6,rf,forest,-0.9647122244139795,199,73,2,1.0
7,rf,gbrt,-0.9685726407082184,62,364,2,1.0
8,rf,gp,-0.9663633378549136,84,864,2,1.0
9,adaboost,forest,-0.6155368421119403,23,0.07733269343732768,SAMME.R,
10,adaboost,gbrt,-0.6084497526791423,30,0.0049227651326099915,SAMME.R,
11,adaboost,gp,-0.6090007168664701,153,0.0009455493133073337,SAMME.R,
